电影名称（中文）,电影名称（英文）,排名,年份,评分,导演,主要演员,类型,国家/地区,语言,时长,热门评论
血钻,Blood Diamond,No.223,2006,8.7,爱德华·兹威克,莱昂纳多·迪卡普里奥 / 杰曼·翰苏 / 詹妮弗·康纳利 / 阿诺德·沃斯洛 / 大卫·哈雷伍德 / 吉米·米斯特雷 / 麦克·辛 / 史蒂芬·柯林斯,剧情/惊悚/冒险, 美国 / 德国 / 英国, 英语 / 门德语 / 南非语,143 分钟,钻石，华丽的毒品。 迪卡普里奥，自从无间行者开始已让越来越多的人重新认识他，并知道泰坦尼克之后他一直在努力。 ★★★★
上帝之城,Cidade de Deus,No.161,2002,9.0,费尔南多·梅里尔斯 / 卡迪亚·兰德,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森 / 道格拉斯·席尔瓦 / 乔纳森·哈根森 / 马修斯·纳克加勒 / 索·豪黑 / 艾莉丝·布拉加,剧情/犯罪, 巴西 / 法国, 葡萄牙语,130分钟,li'l的发小同伙眼镜benny太可爱了...五官一点都不像典型黑人，笑起来还有甜甜的酒窝..迄今我看过的最好的拉丁电影
色，戒, ,No.190,2007,8.6,李安,梁朝伟 / 汤唯 / 陈冲 / 王力宏 / 庹宗华 / 朱芷莹 / 高英轩 / 柯宇纶 / 阮德锵 / 钱嘉乐 / 苏岩 / 何赛飞 / 宋茹惠 / 樊光耀 / 卢燕 / 刘洁 / 余娅 / 王琳 / 王侃 / 竹下明子 / 阿努潘·凯尔,剧情/爱情/情色, 中国台湾 / 中国大陆 / 美国 / 中国香港, 汉语普通话 / 上海话 / 英语 / 粤语 / 日语 / 印地语,158分钟,从头笑到尾 抱歉。。。王力宏的出演简直是本片最大的灾难。。。
小森林,冬春篇 リトル・フォレスト 冬・春,No.121,2015,9.0,森淳一,桥本爱 / 三浦贵大 / 松冈茉优 / 温水洋一 / 桐岛加恋,剧情, 日本, 日语,120分钟,“她这么辛苦种田就是为了每天这么吃啊？”“对啊，人生不就是这样吗！”
萤火之森,蛍火の杜へ,No.127,2011,8.9,大森贵弘,佐仓绫音 / 内山昂辉 / 辻亲八 / 山本兼平 / 后藤弘树 / 今井麻美,剧情/爱情/动画/奇幻, 日本, 日语,45分钟,郁闷死了 守着一颗白白嫩嫩的大白菜多少年细心栽培没舍得吃，最后这颗大白菜被猪给拱了的感觉 (☍﹏⁰)
控方证人,Witness for the Prosecution,No.23,1957,9.6,比利·怀尔德,泰隆·鲍华 / 玛琳·黛德丽 / 查尔斯·劳顿 / 爱尔莎·兰切斯特 / 约翰·威廉姆斯 / 亨利·丹尼尔 / 伊安·沃尔夫 / 托林·撒切尔 / 诺玛·威登 / 尤娜·奥康纳 / 茹塔·李,剧情/悬疑/犯罪, 美国, 英语 / 德语,116分钟,男人贪心，女人贪爱
唐伯虎点秋香,唐伯虎點秋香,No.106,1993,8.7,李力持,周星驰 / 巩俐 / 陈百祥 / 郑佩佩 / 朱咪咪 / 梁家仁 / 苑琼丹 / 梁荣忠 / 黄一山 / 黄霑 / 吴镇宇 / 刘家辉 / 蓝洁瑛 / 谷德昭 / 陈辉虹 / 李健仁 / 宣萱 / 温翠苹,喜剧/爱情/古装, 中国香港, 粤语,102 分钟,可以忽略秋香……
九品芝麻官, ,No.177,1994,8.6,王晶,周星驰 / 吴孟达 / 张敏 / 徐锦江 / 钟丽缇 / 蔡少芬 / 吴启华 / 邹兆龙 / 梁荣忠 / 黄一飞 / 苑琼丹 / 刘洵 / 黄一山,剧情/喜剧/古装, 中国香港 / 中国大陆, 粤语,108分钟,正宗的周氏无厘头电影~~
釜山行,부산행,No.141,2016,8.6,延尚昊,孔刘 / 郑有美 / 马东锡 / 金秀安 / 金义城 / 崔宇植 / 安昭熙 / 崔奎华 / 郑锡勇 / 艺秀晶 / 朴明申 / 张赫镇 / 禹都临 / 沈恩京,动作/惊悚/灾难, 韩国, 韩语,118分钟,丧尸再也不是西方的专利了！韩国影人再一次向世人证明了他们非凡的叙事能力和精巧的借鉴本事。没有好莱坞式拯救人类的大英雄主义，多了的是人性的反思与情感的刻画。无论怎么看，这部电影都是亚洲影界的头一遭，五星鼓励！
未麻的部屋,Perfect Blue,No.146,1997,9.0,今敏,岩男润子 / 松本梨香 / 辻亲八 / 大仓正章 / 秋元羊介 / 盐屋翼 / 堀秀行 / 筱原惠美 / 江原正士 / 梁田清之 / 古泽彻 / 新山志保 / 古川惠实子 / 原亚弥 / 三木真一郎 / 山野井仁 / 田野惠 / 长嶝高士 / 陶山章央 / 细井治 / 远近孝一 / 本井英美 / 保志总一朗 / 谷山纪章 / 北野诚 / 南香织 / 商店一野,动画/惊悚/奇幻, 日本, 日语,81 分钟,“好片子，但不想再看第二遍”
爱在黎明破晓前,Before Sunrise,No.112,1995,8.8,理查德·林克莱特,伊桑·霍克 / 朱莉·德尔佩 / 安德莉亚·埃克特 / 汉诺·波西尔 / 卡尔·布拉克施魏格尔 / 特克斯·鲁比诺威茨 / 埃尔尼·曼戈尔德 / 多米尼克·卡斯特尔 / 海蒙·玛丽亚·巴汀格 / 哈拉尔德·魏格莱因 / 汉斯·魏因加特纳 / 彼得·艾利·休默 / 休伯特·法比安·库尔特勒 / 约翰·斯洛斯 / 克里斯蒂安·安科维奇 / 亚当·戈德堡 / 保罗·波伊特,剧情/爱情, 美国 / 奥地利 / 瑞士, 英语 / 德语 / 法语,101分钟,两个人在试听间里听爱情歌曲的那一段，局促的空间里，想看对方，又有些矜持，目光刚一接触就赶紧离开，那么一段长长的时间，很好。餐厅里互打电话。对话总是很聪明。“很多人结婚的理由比这还少。”
重庆森林,重慶森林,No.109,1994,8.8,王家卫,林青霞 / 金城武 / 梁朝伟 / 王菲 / 周嘉玲,剧情/爱情, 中国香港, 粤语 / 汉语普通话 / 英语 / 印地语 / 日语,102分钟,"那时她还被叫做王靖雯,小鹿様闪烁的眼神,细痩无邪的身体,疯狂的暗恋也不过是纯真执着的本能"
海洋,Océans,No.233,2009,9.1,雅克·贝汉 / 雅克·克鲁奥德,皮尔斯·布鲁斯南 / 小佩德罗·阿门达里斯 / 雅克·贝汉 / 宫泽理惠 / 马蒂亚斯·勃兰特 / 阿尔多 / 兰斯洛特·佩林 / Manolo Garcia,纪录片, 法国 / 瑞士 / 西班牙 / 美国 / 阿联酋 / 摩纳哥, 法语,104分钟(法国),看完之后深深希望2012快点来，大家抱团死，剩下的生物就可以好好活了。
倩女幽魂, ,No.122,1987,8.8,程小东,张国荣 / 王祖贤 / 午马 / 刘兆铭 / 林威 / 薛芷伦 / 胡大为 / 王晶,爱情/奇幻/武侠/古装, 中国香港, 粤语,98分钟(香港),王祖贤太太美了，哥哥风华绝代。
蝴蝶效应,The Butterfly Effect,No.82,2004,8.8,埃里克·布雷斯 / J·麦基·格鲁伯,阿什顿·库彻 / 梅洛拉·沃尔特斯 / 艾米·斯马特 / 埃尔登·汉森 / 威廉姆·李·斯科特 / 约翰·帕特里克·阿梅多利 / 艾琳·戈洛瓦娅 / 凯文·G·施密特 / 杰西·詹姆斯 / 罗根·勒曼 / 莎拉·威多斯 / 杰克·凯斯 / 卡梅隆·布莱特 / 埃里克·斯托尔兹 / 考乐姆·吉斯·雷尼 / 凯文·杜兰,剧情/科幻/悬疑/惊悚, 美国 / 加拿大, 英语,113分钟,或许，我也应该用脐带勒死自己
疯狂原始人,The Croods,No.162,2013,8.7,柯克·德·米科 / 克里斯·桑德斯,尼古拉斯·凯奇 / 艾玛·斯通 / 瑞安·雷诺兹 / 凯瑟琳·基纳 / 克萝丽丝·利奇曼 / 克拉克·杜克 / 克里斯·桑德斯 / 兰迪·汤姆,喜剧/动画/冒险, 美国, 英语,98分钟,《超人总动员》一家人的团结与各显神通、《冰河世纪》的原野放逐与聒噪搞笑、《勇敢传说》的脉脉亲情、《阿凡达》的奇观异景、《驯龙高手》的各色萌兽……前后呼应、没有一个多余的情节，过山车式爽快节奏，一路笑着哭。2014第86届奥斯卡最佳动画长片预定提名
十二怒汉,12 Angry Men,No.39,1957,9.4,西德尼·吕美特,亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒 / 李·科布 / E.G.马绍尔 / 杰克·克卢格曼 / 爱德华·宾斯 / 杰克·瓦尔登 / 约瑟夫·史威尼 / 埃德·贝格利 / 乔治·沃斯科维奇 / 罗伯特·韦伯,剧情, 美国, 英语,96 分钟,"情节展开的不错，但是戴维斯主张的部分都只是模棱两可的推测，实际上挨个求证这些东西之后，孩子有可能是凶手，也有可能不是。只是控方的初期工作没有做好，辩方的交叉质询没有做好，案子应该重新调查，而不是简单的判决无罪。

看到有人截屏引用这个十一年前短评做庸俗群众代表我很荣幸。

现在我要补充的话，会说，权利机关的失职是一回事，合理质疑没有毛病，但结局判决无罪是有毛病的。因为不管群众是盲从机构推测，还是盲...情节展开的不错，但是戴维斯主张的部分都只是模棱两可的推测，实际上挨个求证这些东西之后，孩子有可能是凶手，也有可能不是。只是控方的初期工作没有做好，辩方的交叉质询没有做好，案子应该重新调查，而不是简单的判决无罪。

看到有人截屏引用这个十一年前短评做庸俗群众代表我很荣幸。

现在我要补充的话，会说，权利机关的失职是一回事，合理质疑没有毛病，但结局判决无罪是有毛病的。因为不管群众是盲从机构推测，还是盲从男主推测，都只是被碾压。文艺青年批评我追求真相庸俗，那么只要和机构观点相反就行，接受无罪结局才是公平和正义吗。()"
甜蜜蜜, ,No.126,1996,8.9,陈可辛,黎明 / 张曼玉 / 杨恭如 / 曾志伟 / 杜可风 / 张同祖 / 诸慧荷 / 丁羽,剧情/爱情, 中国香港, 粤语 / 汉语普通话 / 英语,118分钟(中国大陆),到最后我们会幸福吗？最让人感动的是突然出现在曾志伟身上的米奇纹身。我们永远不知道另外一个人在以怎样一种方式爱自己。
罗生门,羅生門,No.207,1950,8.8,黑泽明,三船敏郎 / 京町子 / 森雅之 / 志村乔 / 千秋实 / 上田吉二郎 / 本间文子 / 加东大介,剧情/悬疑/犯罪, 日本, 日语,88分钟,照二十一世纪的眼光来看，这部片子挺大惊小怪 
泰坦尼克号,Titanic,No.4,1997,9.4,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩 / 凯西·贝茨 / 弗兰西丝·费舍 / 格劳瑞亚·斯图尔特 / 比尔·帕克斯顿 / 伯纳德·希尔 / 大卫·沃纳 / 维克多·加博 / 乔纳森·海德 / 苏茜·爱米斯 / 刘易斯·阿伯内西 / 尼古拉斯·卡斯柯恩 / 阿那托利·萨加洛维奇 / 丹尼·努齐 / 杰森·贝瑞 / 伊万·斯图尔特 / 艾恩·格拉法德 / 乔纳森·菲利普斯 / 马克·林赛·查普曼 / 理查德·格拉翰 / 保罗·布赖特威尔 / 艾瑞克·布里登 / 夏洛特·查顿 / 博纳德·福克斯 / 迈克尔·英塞恩 / 法妮·布雷特 / 马丁·贾维斯 / 罗莎琳·艾尔斯 / 罗切尔·罗斯 / 乔纳森·伊万斯-琼斯 / 西蒙·克雷恩 / 爱德华德·弗莱彻 / 斯科特·安德森 / 马丁·伊斯特 / 克雷格·凯利 / 格雷戈里·库克 / 利亚姆·图伊 / 詹姆斯·兰开斯特 / 艾尔莎·瑞雯 / 卢·帕尔特 / 泰瑞·佛瑞斯塔 / 凯文·德·拉·诺伊,剧情/爱情/灾难, 美国 / 墨西哥 / 澳大利亚 / 加拿大, 英语 / 意大利语 / 德语 / 俄语,194分钟,"生死两茫茫
不思量
自难忘"
寻梦环游记,Coco,No.29,2017,9.1,李·昂克里奇 / 阿德里安·莫利纳,安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔 / 本杰明·布拉特 / 阿兰娜·乌巴赫 / 芮妮·维克托 / 杰米·卡米尔 / 阿方索·阿雷奥 / 赫伯特·西古恩萨 / 加布里埃尔·伊格莱西亚斯 / 隆巴多·博伊尔 / 安娜·奥菲丽亚·莫吉亚 / 娜塔丽·科尔多瓦 / 赛琳娜·露娜 / 爱德华·詹姆斯·奥莫斯 / 索菲亚·伊斯皮诺萨 / 卡拉·梅迪纳 / 黛娅娜·欧特里 / 路易斯·瓦尔德斯 / 布兰卡·阿拉切利 / 萨尔瓦多·雷耶斯 / 切奇·马林 / 奥克塔维·索利斯 / 约翰·拉岑贝格,喜剧/动画/音乐/奇幻, 美国, 英语 / 西班牙语,105分钟,我们是人类的一分子，而人类是充满激情的。医学、法律、商业、科技，这些都是崇高的追求，足以支撑人的一生。但音乐、诗歌、梦想、情感，这些才是我们活着的意义。
请以你的名字呼唤我,Call Me by Your Name,No.97,2017,8.9,卢卡·瓜达尼诺,艾米·汉莫 / 蒂莫西·柴勒梅德 / 迈克尔·斯图巴 / 阿蜜拉·卡萨 / 艾斯特·加瑞尔 / 维克图瓦尔·杜布瓦 / 旺妲·卡布里奥罗 / 安东尼奥·里莫尔迪 / 埃琳娜·布奇 / 马可·斯格罗索 / 安德列‧艾席蒙 / 彼得·斯皮尔斯,剧情/爱情/同性, 意大利 / 法国 / 巴西 / 美国 / 荷兰 / 德国, 英语 / 意大利语 / 法语 / 德语 / 希伯来语,132分钟,“我无法忍受沉默，而与你交谈恰是良药”两个人最好的状态是，你会啃我下手过的桃而我心里只有你将离别的悲伤，原来很早之前就在球场上暗示过喜欢你。“每开始一段新的感情，我们能给予的便越少，但为了让自己没有感觉而不去感觉，多么浪费…别让这些痛苦消失，也别丧失你感受到的快乐”2017最佳！
玛丽和马克思,Mary and Max,No.130,2009,8.9,亚当·艾略特,托妮·科莱特 / 菲利普·塞默·霍夫曼 / 巴瑞·哈姆弗莱斯 / 艾瑞克·巴纳 / 贝塔尼·维特莫尔 / 蕾妮·盖耶 / 伊恩·莫利·梅尔德伦 / 朱莉·福塞斯 / 约翰·弗劳思 / 克里斯托弗·马西 / 卡罗琳·莎士比亚-艾伦 / 琳恩·史密斯 / 迈克尔·延纳,剧情/喜剧/动画, 澳大利亚 / 美国, 英语 / 意第绪语,92分钟,我们为什么需要3D？
蝙蝠侠：黑暗骑士,The Dark Knight,No.28,2008,9.2,克里斯托弗·诺兰,克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特 / 迈克尔·凯恩 / 玛吉·吉伦哈尔 / 加里·奥德曼 / 摩根·弗里曼 / 莫尼克·加布里埃拉·库尔内 / 罗恩·迪恩 / 基里安·墨菲 / 黄经汉 / 内斯特·卡博内尔 / 埃里克·罗伯茨 / 里特奇·科斯特 / 安东尼·迈克尔·豪尔 / 基斯·斯扎拉巴基克 / 柯林·麦克法兰 / 约书亚·哈尔托 / 美琳达·麦格劳 / 内森·甘宝 / 迈克尔·维约 / 迈克尔·斯托扬诺夫 / 威廉·斯米利 / 丹尼·高德林 / 迈克尔·加·怀特 / 马修·奥尼尔 / 威廉·菲克纳 / 欧鲁米基·欧拉乌米 / 格雷格·比姆 / 爱利克·赫尔曼 / 毕崔斯·罗森 / 文森佐·尼克力 / 陈冠希,剧情/动作/科幻/惊悚/犯罪, 美国 / 英国, 英语 / 汉语普通话,152分钟,Christopher Nolan太厉害了，好莱坞漫画类型片居然能拍到这样的高度...
头号玩家,Ready Player One,No.148,2018,8.7,史蒂文·斯皮尔伯格,泰伊·谢里丹 / 奥利维亚·库克 / 本·门德尔森 / 马克·里朗斯 / 丽娜·维特 / 森崎温 / 赵家正 / 西蒙·佩吉 / T·J·米勒 / 汉娜·乔恩-卡门 / 拉尔夫·伊内森 / 苏珊·林奇 / 克莱尔·希金斯 / 劳伦斯·斯佩尔曼 / 佩蒂塔·维克斯 / 艾萨克·安德鲁斯,动作/科幻/冒险, 美国, 英语 / 日语 / 汉语普通话,140分钟,好想在有生之年玩一场全民大战马化腾
阳光姐妹淘,써니,No.135,2011,8.8,姜炯哲,沈恩京 / 闵孝琳 / 姜素拉 / 南宝拉 / 陈熙琼 / 金时厚 / 柳好贞 / 朴真珠 / 李妍京 / 金甫美 / 千禹熙 / 李璟荣,剧情/喜剧, 韩国, 韩语,124分钟,同是姐妹片，比《伴娘团》牛逼多了。大有中学不良少女团体史诗片气概
爱在日落黄昏时,Before Sunset,No.123,2004,8.9,理查德·林克莱特,伊桑·霍克 / 朱莉·德尔佩 / 弗农·多布切夫 / 路易丝·勒莫瓦纳·托雷斯 / 罗多尔·保利 / 玛丽安·普莱施泰格 / 迪亚博洛 / 丹尼·弗拉 / 艾伯特·德尔佩 / 玛丽·佩里,剧情/爱情, 美国 / 法国, 英语 / 法语,80 分钟,"“从某种意义上来说，我所有的浪漫
都在一夜之间消耗光了...”"
熔炉,도가니,No.20,2011,9.3,黄东赫,孔刘 / 郑有美 / 金贤秀 / 郑仁絮 / 白承焕 / 张光 / 金民尚 / 林贤成 / 金周灵 / 严孝燮 / 全国焕 / 崔镇浩 / 金志映 / 严智星 / 许在浩 / 张素妍,剧情, 韩国, 韩语,125分钟,他们至少有电影的力量在支撑着弱势群体，而我们呢？因为【熔炉】的上映，一部关于【性暴力犯罪处罚特别法部分修订法律案】目前已通过韩国国会正式颁布，当时的嫌疑人也已被警方逮捕，【熔炉】让我们看到一部现实题材影片所蕴含的巨大能量。有时候一部电影真的可以改变一个世界！
霸王别姬, ,No.2,1993,9.6,陈凯歌,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情/爱情/同性, 中国大陆 / 中国香港, 汉语普通话,171分钟,在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄
教父,The Godfather,No.21,1972,9.3,弗朗西斯·福特·科波拉,马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩 / 理查德·卡斯特尔诺 / 罗伯特·杜瓦尔 / 斯特林·海登 / 约翰·马利 / 理查德·康特 / 艾尔·勒提埃里 / 黛安·基顿 / 阿贝·维高达 / 塔莉娅·夏尔 / 吉亚尼·罗素 / 约翰·凯泽尔 / 鲁迪·邦德 / 兰尼·蒙大拿,剧情/犯罪, 美国, 英语 / 意大利语 / 拉丁语,175 分钟,to所有男生：别想太多。你们都不是马龙白兰度，不是阿尔帕西诺。
狮子王,The Lion King,No.58,1994,9.1,罗杰·阿勒斯 / 罗伯·明可夫,乔纳森·泰勒·托马斯 / 马修·布罗德里克 / 杰瑞米·艾恩斯 / 詹姆斯·厄尔·琼斯 / 莫伊拉·凯利 / 内森·连恩 / 尼基塔·卡兰姆 / 埃林·萨贝拉 / 乌比·戈德堡 / 罗温·艾金森,动画/歌舞/冒险, 美国, 英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,89 分钟,经典之所以称之为经典正是因为他无法复制，狮子王就是这样的经典，每一个细节都那么出色，每个音乐都那么动听，恰到好处的搞笑和贯彻始终的感动。这样的片子不管放到什么时候都不会落伍，因为他本身就是传奇
崖上的波妞,崖の上のポニョ,No.232,2008,8.6,宫崎骏,奈良柚莉爱 / 土井洋辉 / 山口智子 / 长岛一茂 / 天海祐希 / 所乔治 / 柊瑠美 / 矢野显子 / 吉行和子 / 奈良冈朋子 / 左时枝 / 羽鸟慎一 / 平冈映美 / 大桥望美,动画/奇幻/冒险, 日本, 日语,101分钟,我不认为这是给小孩看的，最起码不是给现实的小孩看的
记忆碎片,Memento,No.173,2000,8.7,克里斯托弗·诺兰,盖·皮尔斯 / 凯瑞-安·莫斯 / 乔·潘托里亚诺 / 小马克·布恩 / 拉什·费加 / 乔雅·福克斯 / 斯蒂芬·托布罗斯基 / 哈里特·桑塞姆·哈里斯 / 托马斯·列农 / 考乐姆·吉斯·雷尼 / 金伯利·坎贝尔 / 玛丽安妮·穆勒雷尔 / 拉里·霍尔登,剧情/悬疑/惊悚/犯罪, 美国, 英语,113分钟,导演用一种前无古人的倒序方式营造出“支离破碎”氛围，让观众深刻体验到Lenny破碎的生活及内在，我们如Lenny般扮成侦探，在电影里寻找着所谓的真实。而那织在复杂结构中的情感更让人没有办法不被感动。“如果自欺才能使我快乐，我选择如此的活着。”我们要生存下去必须给自己一个理由，否则就会精神分裂。但那些我们坚持的东西可能只是自己假象中的虚幻。一觉醒来时看着天花板问问自己：我是谁，我为什么在这里。然后你...导演用一种前无古人的倒序方式营造出“支离破碎”氛围，让观众深刻体验到Lenny破碎的生活及内在，我们如Lenny般扮成侦探，在电影里寻找着所谓的真实。而那织在复杂结构中的情感更让人没有办法不被感动。“如果自欺才能使我快乐，我选择如此的活着。”我们要生存下去必须给自己一个理由，否则就会精神分裂。但那些我们坚持的东西可能只是自己假象中的虚幻。一觉醒来时看着天花板问问自己：我是谁，我为什么在这里。然后你开始回忆，当那些记忆的碎片一点一点拼凑起来，一个完整的可能也并不客观的现实呈现在眼前，你，是否惶恐？()
步履不停,歩いても 歩いても,No.222,2008,8.8,是枝裕和,阿部宽 / 夏川结衣 / 江原由希子 / 高桥和也 / 田中祥平 / 野本萤 / 林凌雅 / 寺岛进 / 加藤治子 / 树木希林 / 原田芳雄,剧情/家庭, 日本, 日语,115分钟,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
机器人总动员,WALL·E,No.15,2008,9.3,安德鲁·斯坦顿,本·贝尔特 / 艾丽莎·奈特 / 杰夫·格尔林 / 佛莱德·威拉特 / 西格妮·韦弗 / MacInTalk / 约翰·拉岑贝格 / 凯茜·纳基麦 / 泰迪·牛顿 / 鲍伯·伯根 / 洛丽·理查德森 / 吉姆·瓦德 / 彼特·道格特 / 安德鲁·斯坦顿 / 杰夫·皮金 / 约翰·齐甘 / 米凯·麦高万 / 雪莉·琳恩 / 克莱特·惠特克 / 唐纳德·富利洛夫 / 罗里·艾伦 / 杰斯·哈梅尔 / 拉瑞恩·纽曼 / 扬·拉布森 / 保罗·伊丁,科幻/动画/冒险, 美国, 英语,98分钟,乡下文艺小伙儿追求都市女精英的故事……以及……
小鞋子,بچه های آسمان,No.74,1997,9.2,马基德·马基迪,默罕默德·阿米尔·纳吉 / 法拉赫阿米尔·哈什米安 / 巴哈丽·西迪奇 / 纳菲丝·贾法-穆罕默迪 / 费雷什特·萨拉班迪 / Dariush Mokhtari / 克里斯托弗·马利基,剧情/家庭/儿童, 伊朗, 波斯语,89分钟,没有一点刻意、展览、景观，老老实实地拍，可就是能抓人，令人反思——电影真的需要那些东西么？最后那个金鱼池的场景甚至带点禅意，又那么平凡朴实，让整个片子顿时通透明澈，怎么会这么好！
冰川时代,Ice Age,No.186,2002,8.6,卡洛斯·沙尔丹哈 / 克里斯·韦奇,雷·罗马诺 / 约翰·雷吉扎莫 / 丹尼斯·利瑞 / 杰克·布莱克,喜剧/动画/冒险, 美国, 英语 / 克罗地亚语,81 分钟,不同类，要成为集体，是多么艰难，又是多么简单 类与类融合很难，个体与个体相爱很简单 爱都是个人的事，与种族无关
神偷奶爸,Despicable Me,No.137,2010,8.6,皮埃尔·柯芬 / 克里斯·雷纳德,史蒂夫·卡瑞尔 / 杰森·席格尔 / 拉塞尔·布兰德 / 朱莉·安德鲁斯 / 威尔·阿奈特 / 克里斯汀·韦格 / 米兰达·卡斯格拉夫 / 达纳·盖尔 / 艾尔西·费舍尔 / 皮埃尔·柯芬 / 克里斯·雷纳德 / 杰梅奈·克莱门特 / 杰克·麦克布瑞尔 / 丹尼·麦克布莱德 / 敏迪·卡灵 / 罗布·许贝尔 / 肯·道里欧 / 郑肯,喜剧/动画/冒险, 美国 / 法国, 英语,95分钟,比玩具总动员3还要好看，同意的点有用
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,No.203,2010,8.4,普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭,平采娜·乐维瑟派布恩 / 马里奥·毛瑞尔 / 苏达拉·布查蓬 / 雅尼卡·桑普蕾舞 / 诺特·阿查拉那·阿瑞亚卫考 / 皮拉瓦特·赫拉巴特 / 普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭,剧情/喜剧/爱情, 泰国, 泰语 / 印度尼西亚语 / 英语,118分钟(泰国),一场强大的暗恋背后其实还有另外一场相反的暗恋
喜宴,囍宴,No.152,1993,8.9,李安,赵文瑄 / 郎雄 / 归亚蕾 / 金素梅 / 米切尔·利希藤斯坦,剧情/喜剧/爱情/同性/家庭, 中国台湾 / 美国, 汉语普通话 / 英语,108分钟,台湾跟大陆假结婚，其实在跟美国搞同性恋
第六感,The Sixth Sense,No.107,1999,8.9,M·奈特·沙马兰,布鲁斯·威利斯 / 海利·乔·奥斯蒙 / 托妮·科莱特 / 奥莉维亚·威廉姆斯 / 唐尼·沃尔伯格 / 特拉沃·摩根 / 彼得·安东尼·唐伯蒂斯 / 格伦·菲茨杰拉德 / 米莎·巴顿 / Lisa Summerour / 法尔德斯·巴姆 / 杰弗里·泽布尼斯,剧情/悬疑/惊悚, 美国, 英语 / 拉丁语 / 西班牙语,107分钟,小孩和妈咪的那一段结局 真感人
彗星来的那一夜,Coherence,No.224,2013,8.5,詹姆斯·沃德·布柯特,艾米丽·芭尔多尼 / 莫瑞·史特林 / 尼古拉斯·布兰登 / 劳伦·斯卡法莉娅 / 伊丽莎白·格瑞斯 / 雨果·阿姆斯特朗 / 亚历克斯·马努吉安 / 劳伦·马赫,科幻/悬疑/惊悚, 美国 / 英国, 英语,89分钟,传说中的年度烧脑神作，其实还蛮贱嗖嗖的。情节跟得上，只一点疑问：类似故事（时空罪恶》《恐怖游轮》），大家不约而同选择了揭示人性黑暗面这个主题——为保全自我你必须杀死另一个（或一大堆）自己。我去，为毛啊？大家就不能组个团一起去海底捞涮小肥羊吗？
